product_id,title,skus,publication_name,publication_id,published_on_publication,status
gid://shopify/Product/15724620349824,ABOVE AND BEYOND (PB),60100181522,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724620448128,THE HIGH KAHL'S OATH (PB),60100181524,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724620644736,THE END AND THE DEATH: VOLUME III (PB),60100181525,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724620710272,PARAGON OF FAITH AND OTHER STORIES (HB),60040181395,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724620874112,FERREN AREIOS: MASTER OF RITES (HB),60040181399,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724621037952,ELEMENTAL COUNCIL (PB),60100181529,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724621169024,DOUBLE EAGLE (PAPERBACK),60100181530,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724621365632,INTERCEPTOR CITY (PB),60100181533,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724621529472,KRAKENBLOOD (HB),60040181407,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724621660544,STEEL TREAD (HB),60040181417,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724621857152,DEMOLISHER (HB),60040181418,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724622053760,VAGABOND SQUADRON (HB),60040181902,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724622250368,MINKA LESK: HELL'S LAST (PB),60100181848,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724622414208,VAULTS OF TERRA: THE OMNIBUS (PB),60100181534,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724622610816,FARSIGHT: BLADE OF TRUTH (PB),60100181535,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724622741888,FULGRIM: THE PERFECT SON (PB),60100181536,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724622971264,CIAPHAS CAIN: HERO OF THE IMPERIUM,60100181201,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724623102336,GRUDGE BEARER (PB),60100299077,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724623331712,WITCH HUNTER (PB),60100299047,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724623528320,LEGIONS IMPERIALIS: THE HORUS HERESY,60012699002,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724623724928,LEGIONS IMPERIALIS: LIBER STRATEGIA,60042699007,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724623888768,JOURNAL STRATEGIA: RUIN O/T SALAMANDERS,60042699003,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724624019840,LEGIONS IMPERIALIS: CIVITAS IMPERIALIS,99122699004,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724624150912,L/IMPERIALIS: CIVITAS IMPERIALIS RUINS,99122699028,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724624281984,L/I:CIVI/IMPERIALIS ADMINISTRATUM SECTOR,99122699023,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724624478592,MANUFACTORUM IMPERIALIS SECTOR,99122699024,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724624576896,L/I: ORDER TOKENS AND OBJECTIVES MARKERS,99122699033,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724624740736,WARHAMMER: THE OLD WORLD RULEBOOK (ENG),60042799001,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724624871808,THE OLD WORLD: MATCHED PLAY GUIDE,60042799015,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724625035648,THE OLD WORLD: MODULAR MOVEMENT TRAYS,99222799001,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724625166720,THE OLD WORLD: WALLS AND FENCES,99122799004,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724625330560,WARHAMMER: THE OLD WORLD DICE SET,99222799002,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724625494400,KILL TEAM: CORE BOOK (ENGLISH),60040199176,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724625625472,KILL TEAM: APPROVED OPS CARDS 2025 (ENG),60050199060,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724625854848,KILLZONE: VOLKUS,99120199129,Online Store,gid://shopify/Publication/308211384704,false,published
gid://shopify/Product/15724625985920,KILL TEAM UPGRADE EQUIPMENT PACK,99120199152,Online Store,gid://shopify/Publication/308211384704,false,published
